r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.78061724,x,velocity,1,26,None,DomainAdversarial
0.8368441,y,velocity,1,26,None,DomainAdversarial
0.7978568,x,velocity,1,27,None,DomainAdversarial
0.85381836,y,velocity,1,27,None,DomainAdversarial
0.70963,x,velocity,1,28,None,DomainAdversarial
0.78922576,y,velocity,1,28,None,DomainAdversarial
0.6105435,x,velocity,1,29,None,DomainAdversarial
0.71820736,y,velocity,1,29,None,DomainAdversarial
0.7559182,x,velocity,1,30,None,DomainAdversarial
0.8640227,y,velocity,1,30,None,DomainAdversarial
0.7630743,x,velocity,1,31,None,DomainAdversarial
0.8689795,y,velocity,1,31,None,DomainAdversarial
0.68428195,x,velocity,1,32,None,DomainAdversarial
0.79588336,y,velocity,1,32,None,DomainAdversarial
0.7528937,x,velocity,1,33,None,DomainAdversarial
0.79561526,y,velocity,1,33,None,DomainAdversarial
0.80535924,x,velocity,1,34,None,DomainAdversarial
0.8625119,y,velocity,1,34,None,DomainAdversarial
0.7785813,x,velocity,1,35,None,DomainAdversarial
0.80087066,y,velocity,1,35,None,DomainAdversarial
0.5708833,x,velocity,1,36,None,DomainAdversarial
0.7068639,y,velocity,1,36,None,DomainAdversarial
0.34566897,x,velocity,2,0,None,DomainAdversarial
0.5621546,y,velocity,2,0,None,DomainAdversarial
0.7983484,x,velocity,2,1,None,DomainAdversarial
0.82814157,y,velocity,2,1,None,DomainAdversarial
0.7301718,x,velocity,2,3,None,DomainAdversarial
0.7849213,y,velocity,2,3,None,DomainAdversarial
0.7917309,x,velocity,2,4,None,DomainAdversarial
0.71830404,y,velocity,2,4,None,DomainAdversarial
0.7664499,x,velocity,2,5,None,DomainAdversarial
0.7803889,y,velocity,2,5,None,DomainAdversarial
0.78866637,x,velocity,2,6,None,DomainAdversarial
0.7217945,y,velocity,2,6,None,DomainAdversarial
0.65711987,x,velocity,2,7,None,DomainAdversarial
0.5746522,y,velocity,2,7,None,DomainAdversarial
0.6708628,x,velocity,2,8,None,DomainAdversarial
0.69355965,y,velocity,2,8,None,DomainAdversarial
