source_r_square,target_r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,maximumMeanDiscrepancy
0.688764,0.11056286,y,velocity,0,21,None,0.7873914252314986
0.66039526,-0.034405828,x,velocity,0,22,None,0.7794860936009705
0.688764,-0.04614842,y,velocity,0,22,None,0.7794860936009705
0.66039526,0.046926737,x,velocity,0,23,None,0.7173210380799651
0.688764,0.21915811,y,velocity,0,23,None,0.7173210380799651
0.66039526,0.15835375,x,velocity,0,24,None,0.7289256948729097
0.688764,0.15919286,y,velocity,0,24,None,0.7289256948729097
0.66039526,0.01670289,x,velocity,0,25,None,1.1647267497058258
0.688764,0.049479604,y,velocity,0,25,None,1.1647267497058258
0.66039526,0.037437975,x,velocity,0,26,None,0.7366793008592174
0.688764,0.1524303,y,velocity,0,26,None,0.7366793008592174
0.66039526,0.08141458,x,velocity,0,27,None,0.651871857053049
0.688764,0.16419119,y,velocity,0,27,None,0.651871857053049
0.66039526,0.08836824,x,velocity,0,28,None,0.7394175097174734
0.688764,0.078903615,y,velocity,0,28,None,0.7394175097174734
0.66039526,0.05669272,x,velocity,0,29,None,0.8913087006906167
0.688764,0.090121806,y,velocity,0,29,None,0.8913087006906167
0.66039526,0.069870174,x,velocity,0,30,None,1.0836860803294868
0.688764,0.12440443,y,velocity,0,30,None,1.0836860803294868
0.66039526,0.01391536,x,velocity,0,31,None,0.7996138644691705
0.688764,0.024230778,y,velocity,0,31,None,0.7996138644691705
0.66039526,0.038193643,x,velocity,0,32,None,0.7683261417613476
0.688764,0.05757308,y,velocity,0,32,None,0.7683261417613476
0.66039526,0.10674012,x,velocity,0,33,None,0.5964377212368518
0.688764,0.17759019,y,velocity,0,33,None,0.5964377212368518
0.66039526,-0.048596144,x,velocity,0,34,None,1.8113755149862396
0.688764,-0.03252101,y,velocity,0,34,None,1.8113755149862396
0.66039526,0.10452187,x,velocity,0,35,None,1.5376848885120928
0.688764,0.119867146,y,velocity,0,35,None,1.5376848885120928
0.66039526,0.033606052,x,velocity,0,36,None,1.7198282123778195
0.688764,0.03827125,y,velocity,0,36,None,1.7198282123778195
0.7345017,0.53603363,x,velocity,1,0,None,0.29755231497132184
0.7458599,0.5480132,y,velocity,1,0,None,0.29755231497132184
