r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model,targetLength
0.71090966,y,velocity,2,3,None,Finetune,3750
0.6777649,x,velocity,2,3,None,MixCalibration,3750
0.7527535,y,velocity,2,3,None,MixCalibration,3750
0.7068037,x,velocity,2,3,None,deepDomainComfuse,3750
0.762473,y,velocity,2,3,None,deepDomainComfuse,3750
0.69581115,x,velocity,2,3,None,domainAdversarial,3750
0.76688385,y,velocity,2,3,None,domainAdversarial,3750
0.7072492,x,velocity,2,3,None,Finetune,4688
0.73512673,y,velocity,2,3,None,Finetune,4688
0.7059683,x,velocity,2,3,None,MixCalibration,4688
0.76015913,y,velocity,2,3,None,MixCalibration,4688
0.7034414,x,velocity,2,3,None,deepDomainComfuse,4688
0.758639,y,velocity,2,3,None,deepDomainComfuse,4688
0.6708947,x,velocity,2,3,None,domainAdversarial,4688
0.7693043,y,velocity,2,3,None,domainAdversarial,4688
0.6874507,x,velocity,3,4,None,Finetune,938
0.5883231,y,velocity,3,4,None,Finetune,938
0.67702985,x,velocity,3,4,None,MixCalibration,938
0.5820451,y,velocity,3,4,None,MixCalibration,938
0.652439,x,velocity,3,4,None,deepDomainComfuse,938
0.52878344,y,velocity,3,4,None,deepDomainComfuse,938
0.71326673,x,velocity,3,4,None,domainAdversarial,938
0.62222195,y,velocity,3,4,None,domainAdversarial,938
0.704152,x,velocity,3,4,None,Finetune,1875
0.58776605,y,velocity,3,4,None,Finetune,1875
0.72054005,x,velocity,3,4,None,MixCalibration,1875
0.6297267,y,velocity,3,4,None,MixCalibration,1875
0.66586554,x,velocity,3,4,None,deepDomainComfuse,1875
0.60510916,y,velocity,3,4,None,deepDomainComfuse,1875
0.7339058,x,velocity,3,4,None,domainAdversarial,1875
0.676908,y,velocity,3,4,None,domainAdversarial,1875
0.71654916,x,velocity,3,4,None,Finetune,2813
0.6216129,y,velocity,3,4,None,Finetune,2813
0.70575285,x,velocity,3,4,None,MixCalibration,2813
0.62512374,y,velocity,3,4,None,MixCalibration,2813
0.72630167,x,velocity,3,4,None,deepDomainComfuse,2813
0.6207035,y,velocity,3,4,None,deepDomainComfuse,2813
0.7469001,x,velocity,3,4,None,domainAdversarial,2813
0.6748522,y,velocity,3,4,None,domainAdversarial,2813
0.7312008,x,velocity,3,4,None,Finetune,3750
0.6627819,y,velocity,3,4,None,Finetune,3750
0.7512872,x,velocity,3,4,None,MixCalibration,3750
0.6557069,y,velocity,3,4,None,MixCalibration,3750
0.7382691,x,velocity,3,4,None,deepDomainComfuse,3750
