r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.7618613,y,velocity,7,19,None,MixCalibration
0.69170165,x,velocity,7,20,None,MixCalibration
0.8070756,y,velocity,7,20,None,MixCalibration
0.7113428,x,velocity,7,21,None,MixCalibration
0.7393134,y,velocity,7,21,None,MixCalibration
0.6746042,x,velocity,7,22,None,MixCalibration
0.7806919,y,velocity,7,22,None,MixCalibration
0.70140797,x,velocity,7,23,None,MixCalibration
0.7996699,y,velocity,7,23,None,MixCalibration
0.7180792,x,velocity,7,24,None,MixCalibration
0.82808393,y,velocity,7,24,None,MixCalibration
0.70276904,x,velocity,7,25,None,MixCalibration
0.78192,y,velocity,7,25,None,MixCalibration
0.7383845,x,velocity,7,26,None,MixCalibration
0.81446826,y,velocity,7,26,None,MixCalibration
