r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.71392626,x,velocity,0,17,None,DeepDomainConfusionModel
0.83329505,y,velocity,0,17,None,DeepDomainConfusionModel
0.6203364,x,velocity,0,18,None,DeepDomainConfusionModel
0.7942069,y,velocity,0,18,None,DeepDomainConfusionModel
0.6816008,x,velocity,0,19,None,DeepDomainConfusionModel
0.80455,y,velocity,0,19,None,DeepDomainConfusionModel
0.70857406,x,velocity,0,20,None,DeepDomainConfusionModel
0.803947,y,velocity,0,20,None,DeepDomainConfusionModel
0.6852999,x,velocity,0,21,None,DeepDomainConfusionModel
0.7338996,y,velocity,0,21,None,DeepDomainConfusionModel
0.7167833,x,velocity,0,22,None,DeepDomainConfusionModel
0.80790645,y,velocity,0,22,None,DeepDomainConfusionModel
0.725402,x,velocity,0,23,None,DeepDomainConfusionModel
0.8004952,y,velocity,0,23,None,DeepDomainConfusionModel
0.75992775,x,velocity,0,24,None,DeepDomainConfusionModel
0.83344746,y,velocity,0,24,None,DeepDomainConfusionModel
0.71721625,x,velocity,0,25,None,DeepDomainConfusionModel
0.81913674,y,velocity,0,25,None,DeepDomainConfusionModel
0.7576711,x,velocity,0,26,None,DeepDomainConfusionModel
0.8219091,y,velocity,0,26,None,DeepDomainConfusionModel
0.76772594,x,velocity,0,27,None,DeepDomainConfusionModel
0.83238137,y,velocity,0,27,None,DeepDomainConfusionModel
0.6964556,x,velocity,0,28,None,DeepDomainConfusionModel
0.76646423,y,velocity,0,28,None,DeepDomainConfusionModel
0.4945416,x,velocity,0,29,None,DeepDomainConfusionModel
0.64478916,y,velocity,0,29,None,DeepDomainConfusionModel
0.7211001,x,velocity,0,30,None,DeepDomainConfusionModel
0.8202262,y,velocity,0,30,None,DeepDomainConfusionModel
0.69721174,x,velocity,0,31,None,DeepDomainConfusionModel
0.8288697,y,velocity,0,31,None,DeepDomainConfusionModel
0.6254792,x,velocity,0,32,None,DeepDomainConfusionModel
0.7348022,y,velocity,0,32,None,DeepDomainConfusionModel
0.7259408,x,velocity,0,33,None,DeepDomainConfusionModel
0.7862469,y,velocity,0,33,None,DeepDomainConfusionModel
0.7878369,x,velocity,0,34,None,DeepDomainConfusionModel
0.8348702,y,velocity,0,34,None,DeepDomainConfusionModel
0.7047267,x,velocity,0,35,None,DeepDomainConfusionModel
0.78517973,y,velocity,0,35,None,DeepDomainConfusionModel
0.7282878,x,velocity,0,36,None,DeepDomainConfusionModel
0.7387321,y,velocity,0,36,None,DeepDomainConfusionModel
0.68487954,x,velocity,1,0,None,DeepDomainConfusionModel
0.71816695,y,velocity,1,0,None,DeepDomainConfusionModel
0.74812764,x,velocity,1,2,None,DeepDomainConfusionModel
0.78577596,y,velocity,1,2,None,DeepDomainConfusionModel
0.6756903,x,velocity,1,3,None,DeepDomainConfusionModel
0.75326777,y,velocity,1,3,None,DeepDomainConfusionModel
0.73903537,x,velocity,1,4,None,DeepDomainConfusionModel
0.673169,y,velocity,1,4,None,DeepDomainConfusionModel
0.7492161,x,velocity,1,5,None,DeepDomainConfusionModel
0.7793639,y,velocity,1,5,None,DeepDomainConfusionModel
0.7553676,x,velocity,1,6,None,DeepDomainConfusionModel
0.70716906,y,velocity,1,6,None,DeepDomainConfusionModel
0.6258453,x,velocity,1,7,None,DeepDomainConfusionModel
