r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.70188123,x,velocity,1,23,None,Finetune
0.793798,y,velocity,1,23,None,Finetune
0.75839984,x,velocity,1,24,None,Finetune
0.8360022,y,velocity,1,24,None,Finetune
0.72115177,x,velocity,1,25,None,Finetune
0.80552864,y,velocity,1,25,None,Finetune
0.7481308,x,velocity,1,26,None,Finetune
0.8196595,y,velocity,1,26,None,Finetune
0.7602308,x,velocity,1,27,None,Finetune
0.8386271,y,velocity,1,27,None,Finetune
0.68828446,x,velocity,1,28,None,Finetune
0.7646822,y,velocity,1,28,None,Finetune
0.51568675,x,velocity,1,29,None,Finetune
0.6494211,y,velocity,1,29,None,Finetune
0.7182498,x,velocity,1,30,None,Finetune
0.8305106,y,velocity,1,30,None,Finetune
0.65591717,x,velocity,1,31,None,Finetune
0.82392555,y,velocity,1,31,None,Finetune
0.65514123,x,velocity,1,32,None,Finetune
0.7428609,y,velocity,1,32,None,Finetune
0.72934246,x,velocity,1,33,None,Finetune
0.7891752,y,velocity,1,33,None,Finetune
0.7831112,x,velocity,1,34,None,Finetune
0.85294664,y,velocity,1,34,None,Finetune
0.7137008,x,velocity,1,35,None,Finetune
0.76903015,y,velocity,1,35,None,Finetune
0.71544135,x,velocity,1,36,None,Finetune
0.73370874,y,velocity,1,36,None,Finetune
0.67039955,x,velocity,2,0,None,Finetune
0.71191645,y,velocity,2,0,None,Finetune
0.728013,x,velocity,2,1,None,Finetune
0.74802136,y,velocity,2,1,None,Finetune
0.71480715,x,velocity,2,3,None,Finetune
0.7514787,y,velocity,2,3,None,Finetune
0.7554315,x,velocity,2,4,None,Finetune
0.68464005,y,velocity,2,4,None,Finetune
0.7315874,x,velocity,2,5,None,Finetune
0.75706,y,velocity,2,5,None,Finetune
0.74742925,x,velocity,2,6,None,Finetune
0.722109,y,velocity,2,6,None,Finetune
0.58390224,x,velocity,2,7,None,Finetune
0.5391367,y,velocity,2,7,None,Finetune
0.6080277,x,velocity,2,8,None,Finetune
0.75312644,y,velocity,2,8,None,Finetune
0.6341769,x,velocity,2,9,None,Finetune
0.780768,y,velocity,2,9,None,Finetune
0.50949645,x,velocity,2,10,None,Finetune
0.7227746,y,velocity,2,10,None,Finetune
0.69806004,x,velocity,2,11,None,Finetune
0.7919415,y,velocity,2,11,None,Finetune
0.76412046,x,velocity,2,12,None,Finetune
0.82789314,y,velocity,2,12,None,Finetune
0.6942824,x,velocity,2,13,None,Finetune
0.8426689,y,velocity,2,13,None,Finetune
0.80130285,x,velocity,2,14,None,Finetune
0.8541819,y,velocity,2,14,None,Finetune
0.7302135,x,velocity,2,15,None,Finetune
0.7471074,y,velocity,2,15,None,Finetune
0.7326968,x,velocity,2,16,None,Finetune
0.7302761,y,velocity,2,16,None,Finetune
0.707019,x,velocity,2,17,None,Finetune
0.8135186,y,velocity,2,17,None,Finetune
0.6265466,x,velocity,2,18,None,Finetune
0.8045328,y,velocity,2,18,None,Finetune
0.6926643,x,velocity,2,19,None,Finetune
0.82260066,y,velocity,2,19,None,Finetune
0.7188959,x,velocity,2,20,None,Finetune
0.8202391,y,velocity,2,20,None,Finetune
0.7006118,x,velocity,2,21,None,Finetune
0.7358122,y,velocity,2,21,None,Finetune
0.6900306,x,velocity,2,22,None,Finetune
0.79508436,y,velocity,2,22,None,Finetune
0.711378,x,velocity,2,23,None,Finetune
